1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
161908,178807,134485,123063,129904,132624,131633,138129,138940,141905,105670,106314,107292,105148,107644,109942,109350,100425,102462,101836,101472,101360,100872,105619,109525,106003,109554,117725,126025,130923,122964,109779,101832,92510,84205,78229,79356,79400,74985,72264,66114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21127,26972,22486,20351,21866,23731,23620,24351,25178,26649,19571,19967,20701,20381,21204,21082,21768,19239,19597,19860,19887,20352,20600,21691,22794,22204,22811,25234,28187,29954,28588,25614,23673,21155,19813,17993,17994,18024,16685,15796,14034
115666,134355,99949,94249,98645,97876,98693,103270,105680,109405,82836,83992,82464,80778,83147,85369,84202,79009,81303,80472,80310,79516,79095,82683,85640,82477,85183,91210,96562,99852,93370,83297,77332,70755,63856,59736,60938,60976,57842,56016,51688
3910,6770,6889,5176,5312,5505,4167,4244,3886,2727,1594,1037,948,1071,1005,1299,1354,1128,1152,956,861,797,883,999,957,1050,1208,1015,971,870,809,675,583,382,344,317,252,236,302,274,283
21205,10710,5161,3287,4081,5512,5153,6264,4196,3124,1669,1318,3179,2918,2288,2192,2026,1049,410,548,414,695,294,246,134,272,352,266,305,247,197,193,244,218,192,183,172,164,156,178,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46877,47474,41277,40890,42491,43508,44401,45496,46992,47560,41063,43373,42096,41516,42892,44582,43599,42279,43610,42827,42689,42456,42705,45905,47877,44961,47577,51609,54815,59934,56340,48790,44438,39130,34105,31215,31137,30470,28415,26739,24900
20006,20784,20002,20260,21987,23328,24876,25880,27792,28964,25282,26534,26464,27680,28865,29975,30177,30102,31474,32030,32608,33011,32711,34915,37144,36271,38207,40959,44202,46443,44437,41037,38353,35624,32985,31804,33096,33459,31525,29992,28435
5168,4318,4041,4020,4331,4362,4527,5068,5571,6505,5515,6282,6039,6219,6576,7088,7195,7340,7856,8181,8428,8641,8219,8562,9235,9786,10584,11750,12928,14190,12860,11984,11284,10421,9884,8534,8495,8133,7594,7341,6493
